antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"cp=4.0, oldpeak=oldpeak_Q4, thal=7.0",HeartDisease=1,0.11551155115511551,0.45874587458745875,0.11551155115511551,1.0,2.179856115107914,1.0,0.06252110359550805,inf,0.6119402985074626,0.2517985611510792,1.0,0.6258992805755396
"exang=1.0, oldpeak=oldpeak_Q4, thal=7.0",HeartDisease=1,0.10231023102310231,0.45874587458745875,0.10231023102310231,1.0,2.179856115107914,1.0,0.05537583461316429,inf,0.6029411764705882,0.22302158273381295,1.0,0.6115107913669064
"cp=4.0, restecg=2.0, thal=7.0",HeartDisease=1,0.1353135313531353,0.45874587458745875,0.132013201320132,0.9756097560975608,2.1266888927882084,1.0,0.06993867703602041,22.19141914191407,0.6126908396946563,0.2857142857142857,0.9549375371802497,0.6316897701351114
"cp=4.0, exang=1.0, oldpeak=oldpeak_Q4",HeartDisease=1,0.1254125412541254,0.45874587458745875,0.12211221122112212,0.9736842105263159,2.122491480499811,1.0,0.06457972529926262,20.567656765676677,0.6046914839367671,0.26428571428571435,0.9513799743260594,0.6199356304430141
"cp=4.0, exang=1.0, slope=2.0, thal=7.0",HeartDisease=1,0.10891089108910891,0.45874587458745875,0.10561056105610561,0.9696969696969697,2.1137998691955526,1.0,0.055648139071332876,17.861386138613877,0.5913194444444444,0.2285714285714286,0.9440133037694014,0.5999563985175496
"cp=4.0, fbs=0.0, restecg=2.0, thal=7.0",HeartDisease=1,0.10891089108910891,0.45874587458745875,0.10561056105610561,0.9696969696969697,2.1137998691955526,1.0,0.055648139071332876,17.861386138613877,0.5913194444444444,0.2285714285714286,0.9440133037694014,0.5999563985175496
"cp=4.0, restecg=2.0, sex=1.0, thal=7.0",HeartDisease=1,0.10891089108910891,0.45874587458745875,0.10561056105610561,0.9696969696969697,2.1137998691955526,1.0,0.055648139071332876,17.861386138613877,0.5913194444444444,0.2285714285714286,0.9440133037694014,0.5999563985175496
"ca=1.0, cp=4.0, sex=1.0",HeartDisease=1,0.10561056105610561,0.45874587458745875,0.10231023102310231,0.96875,2.1117356115107913,1.0,0.05386182182574693,17.32013201320132,0.5886204023330556,0.22142857142857142,0.9422637195121951,0.5958857913669064
"cp=4.0, exang=1.0, fbs=0.0, oldpeak=oldpeak_Q4",HeartDisease=1,0.10561056105610561,0.45874587458745875,0.10231023102310231,0.96875,2.1117356115107913,1.0,0.05386182182574693,17.32013201320132,0.5886204023330556,0.22142857142857142,0.9422637195121951,0.5958857913669064
"cp=4.0, slope=2.0, thal=7.0",HeartDisease=1,0.15841584158415842,0.45874587458745875,0.15181518151815182,0.9583333333333334,2.0890287769784175,1.0,0.07914256772211875,12.990099009901002,0.6194373401534528,0.326241134751773,0.9230182926829269,0.6446342925659473
"exang=1.0, oldpeak=oldpeak_Q4",HeartDisease=1,0.13861386138613863,0.45874587458745875,0.132013201320132,0.9523809523809522,2.0760534429599176,1.0,0.06842466424860306,11.366336633663327,0.6017241379310344,0.2836879432624113,0.9120209059233446,0.620075368276807
"cp=4.0, fbs=0.0, slope=2.0, thal=7.0",HeartDisease=1,0.13861386138613863,0.45874587458745875,0.132013201320132,0.9523809523809522,2.0760534429599176,1.0,0.06842466424860306,11.366336633663327,0.6017241379310344,0.2836879432624113,0.9120209059233446,0.620075368276807
"cp=4.0, oldpeak=oldpeak_Q4, sex=1.0",HeartDisease=1,0.12871287128712872,0.45874587458745875,0.12211221122112212,0.9487179487179488,2.0680686220254567,1.0,0.06306571251184526,10.55445544554457,0.5927518427518429,0.26241134751773054,0.9052532833020639,0.6074524995388305
"exang=1.0, slope=2.0, thal=7.0",HeartDisease=1,0.1254125412541254,0.45874587458745875,0.1188118811881188,0.9473684210526316,2.065126845891708,1.0,0.0612793952662593,10.283828382838296,0.589727463312369,0.2553191489361702,0.9027599486521182,0.6031806134040136
"cp=4.0, sex=1.0, slope=2.0, thal=7.0",HeartDisease=1,0.1254125412541254,0.45874587458745875,0.1188118811881188,0.9473684210526316,2.065126845891708,1.0,0.0612793952662593,10.283828382838296,0.589727463312369,0.2553191489361702,0.9027599486521182,0.6031806134040136
